payment_id,date,type,amount_eur,customer_id
MOCK-P001,2026-09-01,payment,2400.00,MOCK-C001
MOCK-P002,2026-09-02,payment,1800.00,MOCK-C002
MOCK-P003,2026-09-03,payment,950.00,MOCK-C003
MOCK-P004,2026-09-05,payment,3200.00,MOCK-C004
MOCK-P005,2026-09-07,payment,750.00,MOCK-C005
MOCK-P006,2026-09-09,payment,1250.00,MOCK-C006
MOCK-P007,2026-09-12,payment,890.00,MOCK-C007
MOCK-P008,2026-09-16,payment,1610.00,MOCK-C008
MOCK-P009,2026-09-18,payment,1100.00,MOCK-C009
MOCK-P010,2026-09-22,payment,1000.00,MOCK-C010
MOCK-R001,2026-09-23,refund,-300.00,MOCK-C005
