ticket_id,opened_at,resolved_at,sla_hours
MOCK-T001,2026-09-01T08:00:00,2026-09-01T10:00:00,4
MOCK-T002,2026-09-02T09:00:00,2026-09-02T18:00:00,8
MOCK-T003,2026-09-03T12:00:00,2026-09-03T15:00:00,4
MOCK-T004,2026-09-05T08:00:00,2026-09-06T09:00:00,24
MOCK-T005,2026-09-07T10:00:00,2026-09-07T12:00:00,4
MOCK-T006,2026-09-09T07:00:00,2026-09-09T20:00:00,8
MOCK-T007,2026-09-11T11:00:00,2026-09-11T14:00:00,4
MOCK-T008,2026-09-14T09:00:00,2026-09-14T16:00:00,8
MOCK-T009,2026-09-17T13:00:00,2026-09-18T12:00:00,24
MOCK-T010,2026-09-20T10:00:00,,8
